Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Nordic - Kelly Garner & Steffen Bollmann: Welcome to Brainhack and project pitches,29/11/2021,10:00 AM,29/11/2021,11:00 AM,False,https://uqz.zoom.us/meeting/register/tZYof-6hqzItGNDIc1_g8ninsuLFDstlOpRO,,False
Australasia - Dragan Rangelov & Aswin Narayanan: HPC use and bash scripting basics,29/11/2021,2:00 PM,29/11/2021,3:30 PM,False,https://uqz.zoom.us/meeting/register/tZYrfu6gqjgoH9MboXHLg9M5-1Z9dMTeWFZC,,False
Australasia - Kelly Garner: Project status updates,30/11/2021,10:30 AM,30/11/2021,11:00 AM,False,https://uqz.zoom.us/meeting/register/tZArdeiprD8oEtzTV-FdDj3J1cT-3Fsn2Ak_,,False
Australasia - Johanna Bayer & Saskia Bollmann: Git and GitHub for researchers,30/11/2021,2:00 PM,30/11/2021,3:30 PM,False,https://uqz.zoom.us/meeting/register/tZcpce2vrT8sG9LLUcx_na32C5xcc4IsZZy4,,False
Australasia - Kelly Garner: Project status updates,1/12/2021,10:30 AM,1/12/2021,11:00 AM,False,https://uqz.zoom.us/meeting/register/tZcrc--uqT8oGdKnugOGrM_Ci3qX6HyhBTfX,,False
Australasia - Christopher Nolan: Intro to Python scripting and environment management,1/12/2021,2:00 PM,1/12/2021,3:30 PM,False,https://uqz.zoom.us/meeting/register/tZYlcuGuqDItE9xJJJM2NfNSfYfxLSN_VsWj,,False
Australasia - Kelly Garner: Project status updates,2/12/2021,10:30 AM,2/12/2021,11:00 AM,False,https://uqz.zoom.us/meeting/register/tZwtcu6urTwvH9KhNgHN5VFWow-1YPZ1SxWg,,False
Australasia - Thomas Shaw & Steffen Bollmann: Containers,2/12/2021,2:00 PM,2/12/2021,3:30 PM,False,https://uqz.zoom.us/meeting/register/tZcpfumtqj4sGNU2jXcw1QKVjpgP4SeossE0,,False
Australasia - Kelly Garner: Project status updates,3/12/2021,10:30 AM,3/12/2021,11:00 AM,False,https://uqz.zoom.us/meeting/register/tZAkc-iurT8qGNZT1lm34ZJMRlWLmg6PQjrP,,False
Australasia - Tom Close: Development tools,3/12/2021,2:00 PM,3/12/2021,3:30 PM,False,https://uqz.zoom.us/meeting/register/tZYtfumsqz0sGtMCOCl-sFkubtWh6SmDjxs1,,False
