Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Nordic / Boston - Melanie Ganz: The Brain Imaging Data Structure PET extension,6/12/2021,09:00 AM,6/12/2021,09:30 AM,False,BIDS data curation - bring your data !,,False
Nordic / Boston - Douglas N. Greve: An overview of PetSurfer,6/12/2021,09:30 AM,6/12/2021,10:00 AM,False,,,False
Nordic / Boston - Unconference / Projects Presentation,6/12/2021,10:00 AM,6/12/2021,11:00 AM,False,,,False
Boston - Anthony Galassi,6/12/2021,11:00 AM,6/12/2021,11:30 AM,False,,,False
Boston - Paola Mengotti and Aina Frau-Pascual: Diversity in Academia: The Women in Neuroscience Repository (WiNRepo),6/12/2021,11:30 AM,6/12/2021,12:00 PM,False,,,False
Boston - Unconference/Projects,6/12/2021,12:00 PM,6/12/2021,04:00 PM,False,,,False
Nordic / Boston - Martin Nørgaard: The Brain Imaging Data Structure PET extension,7/12/2021,09:00 AM,7/12/2021,09:30 AM,False,,,False
Nordic / Boston - Vincent Beliveau: Automated pipelines for PetSurfer,7/12/2021,09:30 AM,7/12/2021,10:00 AM,False,,,False
Nordic / Boston - Unconference / Reports of Projects and datathon,7/12/2021,10:00 AM,7/12/2021,11:00 AM,False,,,False
Boston - Ludovica Brusaferri: The Pandemic Brain: neuroinflammation in healthy, non-infected individuals during the COVID-19 pandemic,7/12/2021,11:00 AM,7/12/2021,11:30 AM,False,,,False
Boston - Paul Wighton: Pipelines for processing BIDS data using Neurodocker and Nipype,7/12/2021,11:30 AM,7/12/2021,12:00 PM,False,,,False
Boston - Unconference/Projects,7/12/2021,12:00 PM,7/12/2021,04:00 PM,False,,,False
