Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Nordic - Cyril Pernet: BIDS now and then,6/12/2021,09:30 AM,6/12/2021,10:00 AM,False,,,False
Nordic -  BIDS related projects/tools,6/12/2021,10:00 AM,6/12/2021,11:00 AM,False,,,False
Nordic - Datathon,6/12/2021,11:00 AM,6/12/2021,03:00 PM,False,,,False
Nordic / Boston - Melanie Ganz: The Brain Imaging Data Structure PET extension,6/12/2021,03:00 PM,6/12/2021,03:30 PM,False,BIDS data curation - bring your data !,,False
Nordic / Boston - Doug Greve: An overview of PetSurfer,6/12/2021,03:30 PM,6/12/2021,04:00 PM,False,,,False
Nordic / Boston - Unconference / Projects Presentation,6/12/2021,04:00 PM,6/12/2021,06:00 PM,False,,,False
Nordic - Datathon,6/12/2021,04:00 PM,6/12/2021,05:00 PM,False,BIDS data curation - bring your data !,,False
Nordic - Patrick Fisher: Latent states in rfMRI,7/12/2021,09:15 AM,7/12/2021,10:00 AM,False,,,False
Nordic - Cheng Tengip: EEG and PET imaging,7/12/2021,10:00 AM,7/12/2021,10:30 AM,False,,,False
Nordic - Unconference / Projects - PET connectivity - BIDS coin,7/12/2021,10:30 AM,7/12/2021,03:00 PM,False,,,False
Nordic / Boston - Martin Nørgaard: The Brain Imaging Data Structure PET extension,7/12/2021,03:00 PM,7/12/2021,03:30 PM,False,,,False
Nordic / Boston - Vincent Beliveau: Automated pipelines for PetSurfer,7/12/2021,03:30 PM,7/12/2021,04:00 PM,False,,,False
Nordic - Unconference / Reports of Projects and datathon,7/12/2021,04:00 PM,7/12/2021,05:00 PM,False,,,False
