Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Western - Breakfast,1/12/2021,08:00 AM,1/12/2021,09:00 AM,False,,Western Interdisciplinary Research Building,FALSE
Western - Welcome & Project Pitches,1/12/2021,09:00 AM,1/12/2021,10:30 AM,False,,,
Western - Hacking,1/12/2021,10:30 AM,1/12/2021,12:00 AM,False,,,
Western - Lunch,1/12/2021,12:00 AM,1/12/2021,1:30 PM,False,,,
Western - Hacking,1/12/2021,1:30 PM,1/12/2021,4:00 PM,False,,,
Western - MRI data in Python,1/12/2021,1:30 PM,1/12/2021,2:30 PM,False,https://brainhackwestern.github.io/#python,,
Western - Intro to Datalad,1/12/2021,2:30 PM,1/12/2021,4:00 PM,False,https://brainhackwestern.github.io/#datalad,,
Western - Breakfast,2/12/2021,08:00 AM,2/12/2021,09:00 AM,False,,,
Western - Lunch,2/12/2021,12:00 AM,2/12/2021,1:30 PM,False,,,
Western - Hacking,2/12/2021,1:30 PM,2/12/2021,4:00 PM,False,,,
Western - Hacking,2/12/2021,9:00 AM,2/12/2021,12:00 AM,False,,,
Western - fmriprep,2/12/2021,9:00 AM,2/12/2021,10:30 AM,False,https://brainhackwestern.github.io/#frmi,,
Western - Introduction to metaanalysis,2/12/2021,10:30 AM,2/12/2021,12:00 AM,False,https://brainhackwestern.github.io/#meta-analysis,,
Western - Introduction to fNIRS,2/12/2021,1:30 PM,2/12/2021,4:00 PM,False,https://brainhackwestern.github.io/#fnirs,,
Western - Breakfast,3/12/2021,08:00 AM,3/12/2021,09:00 AM,False,,,
Western - Lunch,3/12/2021,12:00 AM,3/12/2021,1:30 PM,False,,,
Western - Hacking,3/12/2021,1:30 PM,3/12/2021,2:30 PM,False,,,
Western - Hacking,3/12/2021,9:00 AM,3/12/2021,12:00 AM,False,,,
Western - Introduction to Machine Learning,3/12/2021,9:00 AM,3/12/2021,10:30 AM,False,https://brainhackwestern.github.io/#machine-learning,,
Western - Introduction to Deep Learning,3/12/2021,10:30 AM,3/12/2021,12:00 AM,False,https://brainhackwestern.github.io/#deep-learning ,,
Western - Project presentations & Wrap-up,3/12/2021,2:30 PM,3/12/2021,4:00 PM,False,,,
